id	external_id	link
SPCC736.14.1	GO:0051315	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0051315">GO:0051315</a>
SPCC736.12c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPAC644.16.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPBC16E9.12c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.12c.1	GO:0033621	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033621">GO:0033621</a>
SPAC30.03c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.09c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.08.1	GO:0045944	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0045944">GO:0045944</a>
SPCC736.08.1	GO:0043565	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043565">GO:0043565</a>
SPCC736.08.1	GO:0001077	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0001077">GO:0001077</a>
SPCC553.07c.1	GO:0019985	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0019985">GO:0019985</a>
SPCC553.01c.1	GO:0005737	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005737">GO:0005737</a>
SPCC553.01c.1	GO:0035861	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0035861">GO:0035861</a>
SPCC736.08.1	GO:0001077	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0001077">GO:0001077</a>
SPCC736.08.1	GO:0043565	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043565">GO:0043565</a>
SPCC736.08.1	GO:0019216	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0019216">GO:0019216</a>
SPCC736.08.1	GO:0000790	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000790">GO:0000790</a>
SPCC553.01c.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC553.01c.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
SPCC736.02.1	GO:0005575	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005575">GO:0005575</a>
SPCC736.02.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC736.02.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
SPCC736.09c.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC553.05c.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC553.05c.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
SPCC736.07c.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
SPCC736.05.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC736.05.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
SPCC736.13.1	GO:0005575	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005575">GO:0005575</a>
SPCC736.13.1	GO:0008150	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0008150">GO:0008150</a>
SPCC736.13.1	GO:0003674	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003674">GO:0003674</a>
